team,season,kalman_strength,kalman_variance,kalman_upper,kalman_lower
Arsenal,2015,1.805948752253053,0.22729437496107507,2.7403865890567998,0.8715109154493061
Arsenal,2016,2.3856811278434975,0.22729437486218415,3.3201189644439673,1.4512432912430275
Arsenal,2017,1.9576570562326756,0.22729437486218415,2.8920948928331454,1.0232192196322056
Arsenal,2018,1.8764692406108119,0.22729437486218415,2.810907077211282,0.9420314040103419
Arsenal,2019,1.3302984324450997,0.22729437486218415,2.26473626904557,0.39586059584462974
Arsenal,2020,1.2367905245887771,0.22729437486218415,2.171228361189247,0.30235268798830717
Arsenal,2021,2.052048229084315,0.22729437486218415,2.986486065684785,1.1176103924838452
Arsenal,2022,1.7772477545311294,0.22729437486218415,2.7116855911315993,0.8428099179306594
Arsenal,2023,2.607808265230654,0.22729437486218415,3.5422461018311235,1.6733704286301838
Arsenal,2024,1.9086490772321865,0.22729437486218415,2.843086913832656,0.9742112406317165
Aston Villa,2015,0.3642078850863016,0.23136760744886856,1.3069813471521223,-0.578565576979519
Aston Villa,2019,0.9932879900422014,0.23136760744886847,1.9360614521080217,0.050514527976380896
Aston Villa,2020,1.1641098733841977,0.23136760744886847,2.1068833354500183,0.22133641131837722
Aston Villa,2021,0.8190554960233534,0.23136760744886847,1.7618289580891737,-0.1237179660424671
Aston Villa,2022,1.8652135838177415,0.23136760744886847,2.807987045883562,0.922440121751921
Aston Villa,2023,1.1845541320112432,0.23136760744886847,2.1273275940770637,0.2417806699454227
Aston Villa,2024,1.1439849985944295,0.23136760744886847,2.08675846066025,0.20121153652860901
Bournemouth,2015,0.7876685864523483,0.1970669586304321,1.6577561844990436,-0.08241901159434717
Bournemouth,2016,1.2935654217708288,0.19706695863043128,2.1636530198175223,0.4234778237241351
Bournemouth,2017,1.3618379178183504,0.19706695863043128,2.231925515865044,0.49175031977165673
Bournemouth,2018,2.1455633881079854,0.19706695863043128,3.015650986154679,1.2754757900612916
Bournemouth,2019,1.3268203285129823,0.19706695863043128,2.196907926559676,0.4567327304662886
Bournemouth,2022,0.7770542384858224,0.19706695863043128,1.6471418365325161,-0.09303335956087122
Bournemouth,2023,1.6157952318169069,0.19706695863043128,2.4858828298636007,0.7457076337702132
Bournemouth,2024,1.68173489770424,0.19706695863043128,2.5518224957509337,0.8116472996575462
Brentford,2021,1.6549865131219184,0.14241667796651375,2.3946539451994426,0.915319081044394
Brentford,2022,1.6008890825158433,0.14241610865957077,2.3405550361912892,0.8612231288403972
Brentford,2023,1.6089672651648959,0.14241610865853166,2.3486332188376435,0.8693013114921483
Brentford,2024,1.9452579397603007,0.14241610865853166,2.6849238934330484,1.205591986087553
Brighton,2017,0.6169980032717828,0.22695732860315804,1.5507427615231433,-0.3167467549795778
Brighton,2018,0.9166817293850215,0.22695732860315787,1.8504264876363816,-0.017063028866338814
Brighton,2019,1.037662641454075,0.22695732860315787,1.9714073997054353,0.10391788320271478
Brighton,2020,0.7947779012588596,0.22695732860315787,1.7285226595102199,-0.13896685699250066
Brighton,2021,2.0102331517952585,0.22695732860315787,2.943977910046619,1.0764883935438982
Brighton,2022,1.7571012632103953,0.22695732860315787,2.6908460214617556,0.823356504959035
Brighton,2023,1.7212427368772796,0.22695732860315787,2.6549874951286396,0.7874979786259193
Brighton,2024,2.2086613417528005,0.22695732860315787,3.1424061000041608,1.2749165835014402
Burnley,2016,1.123143936635265,0.08814984301508387,1.7050687057650435,0.5412191675054863
Burnley,2017,1.052650587536333,0.08814983647731507,1.634575335086438,0.47072583998622786
Burnley,2018,1.1503837986868855,0.08814983647731489,1.73230854623699,0.568459051136781
Burnley,2019,1.2981818250123391,0.08814983647731489,1.8801065725624437,0.7162570774622347
Burnley,2020,1.1858038434370142,0.08814983647731489,1.7677285909871188,0.6038790958869097
Burnley,2021,1.3468971533176395,0.08814983647731489,1.928821900867744,0.764972405767535
Burnley,2023,1.356428295278376,0.08814983647731489,1.9383530428284805,0.7745035477282715
Chelsea,2015,1.436446114488165,0.18881202962122007,2.2881152362677906,0.5847769927085393
Chelsea,2016,2.1297875018477277,0.18881202938106306,2.9814566230857187,1.2781183806097367
Chelsea,2017,1.4100718136307657,0.18881202938106306,2.2617409348687567,0.5584026923927746
Chelsea,2018,1.7681296913913165,0.18881202938106306,2.6197988126293077,0.9164605701533254
Chelsea,2019,2.045619739290498,0.18881202938106306,2.897288860528489,1.193950618052507
Chelsea,2020,2.312217708230248,0.18881202938106306,3.163886829468239,1.4605485869922572
Chelsea,2021,1.931460360195335,0.18881202938106306,2.7831294814333263,1.0797912389573439
Chelsea,2022,1.4988054738538084,0.18881202938106306,2.3504745950917996,0.6471363526158173
Chelsea,2023,2.148317649124427,0.18881202938106306,2.999986770362418,1.2966485278864361
Chelsea,2024,1.470101750457395,0.18881202938106306,2.321770871695386,0.6184326292194039
Crystal Palace,2015,1.07041277208197,0.17199257297024748,1.8832637229471962,0.25756182121674376
Crystal Palace,2016,1.0374895103933515,0.17199257296927914,1.8503404612562897,0.22463855953041334
Crystal Palace,2017,1.849283002645202,0.17199257296927914,2.6621339535081403,1.0364320517822638
Crystal Palace,2018,1.7772947384579043,0.17199257296927914,2.5901456893208423,0.9644437875949662
Crystal Palace,2019,0.7953650379354907,0.17199257296927914,1.6082159887984289,-0.01748591292744739
Crystal Palace,2020,1.126493604116482,0.17199257296927914,1.93934455497942,0.3136426532535438
Crystal Palace,2021,1.1651549347312515,0.17199257296927914,1.9780058855941896,0.3523039838683134
Crystal Palace,2022,1.2335756908607431,0.17199257296927914,2.046426641723681,0.420724739997805
Crystal Palace,2023,2.0707533434346024,0.17199257296927914,2.8836042942975406,1.2579023925716641
Crystal Palace,2024,2.0148082647861774,0.17199257296927914,2.8276592156491156,1.2019573139232391
Everton,2015,1.325231456933359,0.09584373967296018,1.9320208028579917,0.7184421110087261
Everton,2016,1.2372237059949005,0.09584342416461902,1.8440120531727286,0.6304353588170725
Everton,2017,1.2007716666968236,0.09584342416414543,1.8075600138731525,0.5939833195204947
Everton,2018,1.6255581588770522,0.09584342416414543,2.232346506053381,1.0187698117007233
Everton,2019,1.085565985071463,0.09584342416414543,1.6923543322477919,0.47877763789513406
Everton,2020,1.1411893947999534,0.09584342416414543,1.7479777419762823,0.5344010476236245
Everton,2021,1.197723720285541,0.09584342416414543,1.80451206746187,0.5909353731092122
Everton,2022,1.6828828768509845,0.09584342416414543,2.2896712240273134,1.0760945296746556
Everton,2023,1.29731818801296,0.09584342416414543,1.904106535189289,0.6905298408366312
Everton,2024,1.3378523016137451,0.09584342416414543,1.944640648790074,0.7310639544374162
Fulham,2018,1.0137812144992715,0.1189394674740948,1.6897382088772295,0.33782422012131363
Fulham,2020,0.8908258143512264,0.11893946639195777,1.5667828056541828,0.21486882304827015
Fulham,2022,1.4039376286686625,0.11893946639195777,2.079894619971619,0.7279806373657062
Fulham,2023,1.2095673858677742,0.11893946639195777,1.8855243771707304,0.533610394564818
Fulham,2024,1.4811638163248113,0.11893946639195777,2.1571208076277677,0.805206825021855
Leicester,2015,2.2417770845062384,0.17370400626751667,3.0586622113614723,1.4248919576510042
